country,total_cases,new_cases,total_cases_per_million,total_deaths,new_deaths,total_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,people_fully_vaccinated_per_hundred,code,continent,population,median_age,trend_status,last_update
Bonaire Sint Eustatius and Saba,11922.0,0.0,416067.56,41.0,0.0,1430.8647,35845.0,19109.0,16736.0,,58.407204,BES,North America,28654.0,39.77299880981445,Insufficient data,2026-04-26
Suriname,82519.0,0.0,132417.69,1406.0,0.0,2256.199,554588.0,267820.0,237879.0,,38.172287,SUR,South America,623172.0,27.864999771118164,Insufficient data,2026-04-26
Slovenia,1366908.0,0.0,646221.6,9914.0,0.0,4686.9585,3028400.0,1265802.0,1222225.0,,57.782104,SVN,Europe,2115231.0,43.49700164794922,Improving,2026-04-26
Burundi,54569.0,0.0,4096.433,15.0,0.0,1.126033,42252.0,36909.0,36321.0,,0.27265763,BDI,Africa,13321102.0,15.67199993133545,Insufficient data,2026-04-26
Bosnia and Herzegovina,404289.0,0.0,126151.01,16419.0,0.0,5123.2495,1924950.0,943394.0,846080.0,,26.400383,BIH,Europe,3204802.0,44.55899810791016,Insufficient data,2026-04-26
Sudan,63993.0,0.0,1295.8418,5046.0,0.0,102.1802,28662108.0,15207452.0,13416394.0,,27.167852,SDN,Africa,49383344.0,18.1200008392334,Insufficient data,2026-04-26
Solomon Islands,25954.0,0.0,33228.562,199.0,0.0,254.77707,625956.0,343821.0,254352.0,,32.56435,SLB,Oceania,781075.0,20.030000686645508,Insufficient data,2026-04-26
Burkina Faso,22231.0,0.0,987.6477,400.0,0.0,17.77064,7893609.0,6089089.0,5232347.0,,23.245539,BFA,Africa,22509038.0,17.041000366210938,Insufficient data,2026-04-26
Botswana,330699.0,0.0,135538.2,2801.0,0.0,1148.0002,3171667.0,1951054.0,1663490.0,,68.17876,BWA,Africa,2439895.0,22.60400009155273,Insufficient data,2026-04-26
Somalia,27334.0,0.0,1535.4545,1361.0,0.0,76.45254,10555834.0,8972167.0,7666835.0,,43.06752,SOM,Africa,17801895.0,15.371000289916992,Insufficient data,2026-04-26
Sri Lanka,672812.0,0.0,29464.113,16907.0,0.0,740.39966,40116590.0,17143760.0,14752827.0,,64.60631,LKA,Asia,22834965.0,32.56100082397461,Insufficient data,2026-04-26
Bulgaria,1341090.0,0.0,196471.89,38778.0,0.0,5681.0405,4726614.0,2155863.0,2078006.0,,30.443129,BGR,Europe,6825862.0,44.15399932861328,Improving,2026-04-26
Brazil,38016865.0,0.0,180768.94,703928.0,0.0,3347.1543,516237120.0,189643420.0,176164200.0,,83.76549,BRA,South America,210306411.0,33.50600051879883,Improving,2026-04-26
South Africa,4073188.0,0.0,65298.035,102595.0,0.0,1644.7195,41798812.0,24210952.0,21038796.0,,33.727688,ZAF,Africa,62378417.0,27.91900062561035,Insufficient data,2026-04-26
Brunei,350550.0,0.0,769806.8,182.0,0.0,399.67148,1293100.0,451149.0,446714.0,,98.09827,BRN,Asia,455374.0,31.275999069213867,Insufficient data,2026-04-26
Spain,13980340.0,,292302.16,121886.0,,2548.4028,119228504.0,41351230.0,40739124.0,,85.17771,ESP,Europe,47828386.0,44.391998291015625,Insufficient data,2026-04-26
South Korea,34571873.0,0.0,667636.06,35934.0,0.0,693.9408,129647784.0,44764956.0,44347430.0,,85.64171,KOR,Asia,51782515.0,43.94400024414063,Insufficient data,2026-04-26
Turks and Caicos Islands,6935.0,0.0,151191.44,41.0,0.0,893.84985,73907.0,32815.0,30710.0,,66.95154,TCA,North America,45869.0,37.86600112915039,Insufficient data,2026-04-26
Azerbaijan,836510.0,0.0,81251.586,10353.0,0.0,1005.6038,13857111.0,5373253.0,4862494.0,,47.230198,AZE,Asia,10295307.0,32.0620002746582,Insufficient data,2026-04-26
Austria,6083790.0,0.0,671153.44,22534.0,0.0,2485.9128,20468732.0,6899873.0,6683263.0,,73.72863,AUT,Europe,9064678.0,42.83200073242188,Improving,2026-04-26
Bahamas,39127.0,0.0,98422.305,849.0,0.0,2135.6233,366359.0,174810.0,166972.0,,42.0011,BHS,North America,397542.0,34.23400115966797,Insufficient data,2026-04-26
Cameroon,125325.0,0.0,4535.376,1974.0,0.0,71.43692,4880572.0,3753733.0,3197286.0,,11.570632,CMR,Africa,27632770.0,17.62299919128418,Insufficient data,2026-04-26
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,16775970.0,4614869.0,4568901.0,,63.19193,TKM,Asia,7230197.0,25.93099975585937,Insufficient data,2026-04-26
Thailand,5427444.0,0.0,75659.3,34999.0,0.0,487.89075,142635000.0,57005496.0,53486090.0,,74.56032,THA,Asia,71735321.0,39.19400024414063,Increasing,2026-04-26
Chad,7702.0,0.0,417.33228,194.0,0.0,10.511874,9151765.0,5147667.0,5020360.0,,27.202782,TCD,Africa,18455319.0,15.10200023651123,Insufficient data,2026-04-26
Australia,11861161.0,0.0,452699.0,25236.0,0.0,963.1698,69686750.0,22231734.0,21647524.0,,82.62102,AUS,Oceania,26200987.0,37.512001037597656,Insufficient data,2026-04-26
Belize,71493.0,0.0,177516.08,688.0,0.0,1708.294,511106.0,258473.0,221478.0,,54.992664,BLZ,North America,402741.0,25.520999908447266,Insufficient data,2026-04-26
Senegal,89440.0,0.0,5067.1064,1972.0,0.0,111.72109,3182308.0,2684696.0,1548665.0,,8.77376,SEN,Africa,17651099.0,18.88800048828125,Insufficient data,2026-04-26
Tanzania,43655.0,0.0,674.60626,846.0,0.0,13.073345,39392420.0,34434932.0,32165792.0,,49.706203,TZA,Africa,64711822.0,17.124000549316406,Insufficient data,2026-04-26
Central African Republic,15493.0,0.0,3039.0122,113.0,0.0,22.16539,3342248.0,2600389.0,2484985.0,,48.74395,CAF,Africa,5098038.0,14.29800033569336,Insufficient data,2026-04-26
Benin,28036.0,0.0,2037.573,163.0,0.0,11.8463545,4232541.0,3697190.0,2742837.0,,19.934122,BEN,Africa,13759507.0,17.645999908447266,Insufficient data,2026-04-26
Tajikistan,17786.0,0.0,1746.7689,125.0,0.0,12.276292,20568164.0,5328277.0,5191919.0,,50.99001,TJK,Asia,10182228.0,21.742000579833984,Insufficient data,2026-04-26
Serbia,2568005.0,0.0,378136.3,18057.0,0.0,2658.8762,8534688.0,3354075.0,3278198.0,,48.271156,SRB,Europe,6791215.0,43.67499923706055,Insufficient data,2026-04-26
Cayman Islands,31472.0,0.0,439491.7,37.0,0.0,516.6876,152148.0,62113.0,60696.0,,84.75911,CYM,North America,71610.0,37.499000549316406,Insufficient data,2026-04-26
Turkey,17004726.0,0.0,195325.34,101419.0,0.0,1164.9528,152543340.0,57941052.0,53176960.0,,61.081894,TUR,Asia,87058469.0,32.071998596191406,Insufficient data,2026-04-26
Uganda,172234.0,0.0,3640.332,3632.0,0.0,76.76583,26406936.0,20033188.0,13061126.0,,27.605951,UGA,Africa,47312718.0,16.33799934387207,Insufficient data,2026-04-26
British Virgin Islands,7661.0,0.0,199786.16,64.0,0.0,1669.0137,41453.0,19466.0,18261.0,,47.621655,VGB,North America,38346.0,37.119998931884766,Insufficient data,2026-04-26
Seychelles,51899.0,0.0,413429.12,172.0,0.0,1370.1576,224558.0,88520.0,83565.0,,66.56815,SYC,Africa,125533.0,33.38800048828125,Insufficient data,2026-04-26
Cape Verde,64550.0,0.0,124194.32,417.0,0.0,802.3088,859940.0,356734.0,308720.0,,59.39779,CPV,Africa,519750.0,27.32200050354004,Insufficient data,2026-04-26
Bhutan,62954.0,0.0,80615.07,21.0,0.0,26.891325,2011426.0,699116.0,677669.0,,86.778175,BTN,Asia,780921.0,28.809999465942383,Insufficient data,2026-04-26
Syria,57423.0,0.0,2556.4316,3163.0,0.0,140.81453,5090630.0,3295630.0,2358365.0,,10.499275,SYR,Asia,22462170.0,21.58799934387207,Insufficient data,2026-04-26
Sierra Leone,7985.0,0.0,964.7438,125.0,0.0,15.102439,9155936.0,5676123.0,4961886.0,,59.949265,SLE,Africa,8276809.0,19.040000915527344,Insufficient data,2026-04-26
Canada,4819055.0,0.0,124134.44,55282.0,0.0,1424.0135,102877160.0,34742936.0,31758252.0,,81.80634,CAN,North America,38821259.0,40.25299835205078,Insufficient data,2026-04-26
Bolivia,1212185.0,0.0,100370.07,22389.0,0.0,1853.8304,14690530.0,7361008.0,6160585.0,,51.01023,BOL,South America,12077156.0,24.392000198364254,Stable,2026-04-26
Switzerland,4491924.0,0.0,510899.9,14170.0,0.0,1611.6594,16940716.0,6096911.0,,,,CHE,Europe,8792180.0,41.96099853515625,Improving,2026-04-26
Singapore,3006155.0,0.0,532073.4,2024.0,0.0,358.23718,15302530.0,5287005.0,5248693.0,,92.89906,SGP,Asia,5649888.0,34.87799835205078,Insufficient data,2026-04-26
Sint Maarten (Dutch part),11051.0,0.0,262101.84,92.0,0.0,2182.0078,66829.0,29788.0,26773.0,,63.498802,SXM,North America,42163.0,41.47999954223633,Insufficient data,2026-04-26
Bermuda,18860.0,0.0,291175.2,165.0,0.0,2547.397,136759.0,48554.0,47657.0,,73.576546,BMU,North America,64772.0,44.70299911499024,Insufficient data,2026-04-26
Kenya,344162.0,0.0,6343.7124,5689.0,0.0,104.86161,23750432.0,14494372.0,11090440.0,,20.442282,KEN,Africa,54252458.0,19.27199935913086,Insufficient data,2026-04-26
United States Virgin Islands,25389.0,0.0,293443.22,132.0,0.0,1525.6411,,,,,,VIR,North America,86521.0,44.57099914550781,Insufficient data,2026-04-26
Saint Kitts and Nevis,6607.0,0.0,141380.64,46.0,0.0,984.33624,64297.0,33794.0,27000.0,,57.776257,KNA,North America,46732.0,34.97100067138672,Insufficient data,2026-04-26
Guam,52287.0,0.0,316520.7,419.0,0.0,2536.427,,,,,,GUM,Oceania,165193.0,30.979999542236328,Insufficient data,2026-04-26
